Detector geometry infos
Layer / Ladder / Module / Mid_Strip / Mid_Segment / Xrange / Yrange / Zrange / Xmid / Ymid / Zmid
5 / 3 / 25 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -24.6708
5 / 3 / 26 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -21.3316
5 / 3 / 27 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -16.6374
5 / 3 / 28 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -12.9733
5 / 3 / 29 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -8.39716
5 / 3 / 30 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -4.3997
5 / 3 / 31 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 0.0552776
5 / 3 / 32 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 4.3948
5 / 3 / 33 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 8.39258
5 / 3 / 34 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 12.9688
5 / 3 / 35 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 16.6332
5 / 3 / 36 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 21.3275
5 / 3 / 37 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 24.6669
5 / 3 / 38 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 29.4764
5 / 3 / 39 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 32.499
5 / 3 / 40 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 37.4207
5 / 3 / 41 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 40.1344
5 / 3 / 42 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 45.1656
5 / 3 / 43 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 47.5782
5 / 3 / 44 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 52.716
5 / 3 / 45 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 54.8351
5 / 3 / 46 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / 60.0769
5 / 3 / 47 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / 61.9098
5 / 3 / 48 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / 67.253
5 / 3 / 49 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / 68.8069
